,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,9.186708622685185,29.13152194906788,0.4246278005972642,9.507897135416666,28.693238868146167,0.2590595375137372,9.507897135416666,29.14418283568924,0.4651319403799495,9.507897135416666,28.788166430996256,0.23888391572986864
max,79.41968605324074,38.49920418909417,0.983470047313331,87.85297526041667,38.34995886356423,0.9834346787985925,79.18849283854166,38.34995886356423,0.9834346787985925,85.95353009259259,38.34995886356423,0.9834346787985925
avg,35.52994770826289,33.14800519694533,0.8217146555513818,43.01311966173229,32.12623737817301,0.7967662254120533,39.15283099118792,32.51578809650536,0.78721005129924,50.853649596342436,31.423736137629394,0.6132491618602112
