,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,8.647466362847222,29.293472621304627,0.49369080737805354,9.431059751157408,28.656013665192972,0.49369080737805354,15.519301938657408,29.068097324412395,0.42566879054707957,17.059446614583333,28.889241942705052,0.28729776192388856
max,76.5126244212963,38.7619147950886,0.9842041930192423,88.60923647280093,38.385198645016864,0.9842041930192423,80.58804651331019,36.222081781601226,0.9376138721410919,83.97618995949074,35.81115421734578,0.9356711447248373
avg,23.918482898105353,34.818669658054255,0.9027087478480446,32.78576971375822,33.32479097108685,0.8703867261895132,43.457999098617975,32.02948846556273,0.761264211104058,46.1758361856839,31.776466104160328,0.7286570892974108
