,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,3.763433521412037,28.07050631729755,0.07726777114420802,3.763433521412037,27.54973689841881,0.03971579886964311,3.763433521412037,28.019857490692385,0.06302574945125687,4.184422019675926,28.05765725166657,0.005524962664552991
max,101.39807942708333,42.37496111957406,0.9833748764123748,114.315908203125,42.37496111957406,0.9833748764123748,102.5875390625,42.37496111957406,0.9833748764123748,101.69852068865741,41.9144488205128,0.9787716259355767
avg,42.86831628692084,32.10558024035921,0.8086441640162135,44.280845643602845,31.96800072307842,0.8251119349688018,44.66043610749426,31.902575738424254,0.794758857476337,52.005458527990776,31.331535644960866,0.6728160352909788
