,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,19.108748914930555,31.78647494469182,0.7905112971652084,21.048343098958334,27.954731168530294,0.6228342478219878,21.033596643518518,31.734938527696205,0.7897239138014519,21.256556351273147,28.020257070247226,0.12906896904237103
max,43.09559353298611,35.31848106943634,0.9348656807118415,104.13752314814815,34.898624465062504,0.9285976293918267,43.610042317708334,34.90166819571108,0.9275897145988985,102.57810076678241,34.85587452457507,0.9273048861161722
avg,24.55589615383272,34.318375770854864,0.8982083606592991,29.549128427975255,33.48345918276512,0.8803637543175656,28.932688279561635,33.54618826973578,0.862859982146124,32.093415781145225,33.14964174176411,0.8369770829231472
