,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,19.439592375578705,31.73123963462139,0.7821112862415661,21.894269386574074,27.950044177630552,0.30355127972807133,21.420464048032407,31.684431624061467,0.7553232387575961,21.392441044560186,28.02044380341468,0.07455074962654255
max,43.64720088252315,35.24393206805066,0.9348656807118415,104.24997106481482,34.72749903537684,0.9258059947608847,44.12017216435185,34.82251485813866,0.9272804412473405,102.57369032118055,34.82820017077327,0.9273266713073688
avg,27.02688172291853,33.89597430574602,0.88623598478564,31.60660075761283,33.20774383615474,0.8667482696137591,30.381040884339594,33.33770918805205,0.8510981074499995,35.13004031204009,32.792710936200464,0.8001535767952842
