,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,19.439592375578705,30.735315790406116,0.7055214728756977,22.4249609375,27.927934832054998,0.06502898064708645,21.871323061342594,30.687954327635193,0.7041967610362075,22.220494429976853,28.004672234403078,0.07007237094592376
max,54.897021484375,35.24393206805066,0.9348656807118415,104.78204680266204,34.62348665657599,0.9236721968241143,55.498970630787035,34.732053052714996,0.9264582162693484,102.94686776620371,34.66326642634725,0.9254297638029532
avg,31.0316659723969,33.327818270750626,0.8519490049356991,35.86140812612943,32.68956432190446,0.8312725846581269,33.9988945383819,32.8691641610661,0.8250124591397404,43.68098957896687,31.902766643362284,0.707180377450026
