,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,21.72905815972222,27.864303793577704,0.40771380276354824,21.701649305555556,27.674731520176714,0.37110673936804534,21.72905815972222,27.86721955696916,0.40714556390726786,21.657608506944445,27.881793635534816,0.016610924903508992
max,106.32857204861111,34.76039458518859,0.9676909713812044,111.07266927083333,34.76587619780552,0.9677998440829795,106.25720920138889,34.76039458518859,0.9675427163029072,105.90122829861112,34.774698619294234,0.9675427163029072
avg,37.79320852934585,32.502150422578154,0.8537745371351851,40.340265064964186,32.23294798655321,0.8389610761103674,40.62343342107229,32.19495578529286,0.8258811514914174,41.524590100433095,32.11406523727114,0.8167783003571621
