,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,3.4549504484953704,28.189846597630623,0.20128064468168605,3.4549504484953704,28.126111372044488,0.22644976015285825,3.4549504484953704,28.179836906293048,0.20358087134541003,3.4549504484953704,28.275682452668253,0.23470047363760171
max,98.64968460648149,42.74638537840573,0.9842628681747497,100.10810112847223,42.74638537840573,0.9842628681747497,98.87731626157408,42.74638537840573,0.9842628681747497,96.71907081886575,42.74638537840573,0.9842628681747497
avg,32.957276576796744,33.15505291160947,0.8949233206770599,33.50378595965708,33.047675696110126,0.9007868492510474,34.07867108825344,32.99733325938689,0.8932262970982563,35.025168743962396,32.90679979017208,0.8750365364898823
