,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,0.19373810442386832,49.9312820952181,0.9873511512337507,0.263833108281893,49.91648804996443,0.985658216575704,0.2923546810699588,49.9312820952181,0.9873511512337507,0.13925347222222223,49.79002357871849,0.9870116522351856
max,0.6606206597222222,55.25865314678839,0.9997879887338389,0.662874871399177,53.917510668451946,0.9967095504431258,0.6606206597222222,53.47170308883843,0.9962810129919895,0.6824612590020576,56.69274327951044,0.999250807350903
avg,0.49024510814049316,51.2793848852279,0.99183704855756,0.5203621880668187,50.99771742186927,0.9901339804766448,0.5176204665162469,51.021386244618604,0.9910503487930722,0.5659795997040354,50.64232254420958,0.989724565527286
