,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,9.209899088541667,29.124386919842934,0.42451368917871424,9.594278428819445,28.70460240876035,0.4937941007358062,9.594278428819445,29.142844614022266,0.46948190328015277,10.19572120949074,28.81437942130118,0.2572515579028789
max,79.55027199074074,38.488254891433314,0.9835429361944928,87.62340386284723,38.31068043199852,0.983400467344372,79.21289749710648,38.31068043199852,0.983400467344372,85.43629738136575,38.046624092016266,0.9814988025565098
avg,27.188666034475936,34.25745396652488,0.8822241782344302,36.210478621620666,32.89595859842206,0.8482645418218095,32.746151894980635,33.28085391427755,0.8274230370217845,41.211656507063935,32.388443708261605,0.7358743241720398
