,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,9.186708622685185,29.13152194906788,0.4246278005972642,84.1091482204861,27.837016068321866,0.17431716858836324,9.507897135416666,29.14418283568924,0.4651319403799495,9.507897135416666,28.788166430996256,0.23888391572986864
max,79.41968605324074,38.49920418909417,0.983470047313331,106.99876229745371,28.882371260021795,0.36191369439794707,79.18849283854166,38.34995886356423,0.9834346787985925,85.95353009259259,38.34995886356423,0.9834346787985925
avg,35.52994770826289,33.14800519694533,0.8217146555513818,102.20549958605811,28.03689537336216,0.25220199279459166,39.15283099118792,32.51578809650536,0.78721005129924,50.853649596342436,31.423736137629394,0.6132491618602112
