,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,0.0,26.607920164848537,0.051894852275393116,0.0,26.607920164848537,0.051894852275393116,0.0,26.607920164848537,0.051894852275393116,0.0,26.607920164848537,0.051894852275393116
max,142.0,100.0,1.0,142.0,100.0,1.0,142.0,100.0,1.0,142.0,100.0,1.0
avg,16.75229769110077,48.05956854291992,0.8938328998257582,16.90450571620725,48.04387500736082,0.8932597787532691,16.75229769110077,48.05956854291992,0.8938328998257582,16.75229769110077,48.05956854291992,0.8938328998257582
