,dup_mse,dup_psnr,dup_ssim,blend_mse,blend_psnr,blend_ssim,farneback_mse,farneback_psnr,farneback_ssim,lk_mse,lk_psnr,lk_ssim
min,3.867796585648148,27.966902383610584,0.13681744958831232,3.867796585648148,27.568182432398732,0.21051504387177225,3.867796585648148,27.915825587798402,0.1377089637199947,3.867796585648148,28.080924287829966,0.09224470557841409
max,103.84608362268519,42.25616735181231,0.982762426874913,113.83141059027778,42.25616735181231,0.982762426874913,105.07461371527778,42.25616735181231,0.982762426874913,101.15513454861112,42.25616735181231,0.982762426874913
avg,37.3974662781207,32.6389857169985,0.8630313792322832,37.2502300688977,32.6258016946926,0.8753439976346745,37.87042985481713,32.575591245128585,0.8578499619104187,40.25783827324729,32.368407074780635,0.8148570868709288
